"Longitude" "Latitude" "Annual Mean Temperature (x10)" "Temperature Annual Range (100xSD)" "Annual Precipitation" "Precipitation Seasonality" "Altitude" "forested habitat [0/1]" "X9"      
42.2  47.63      68     311     531     47      1400    0	1
42.67 46.98      76     324     602     48      1128    0	2
42.67 46.98      76     324     602     48      1128    0	3
42.5  44.5       -13    305     954     50      2854    0	4
42.5  44.5       -13    305     954     50      2854    0	5
42.5  44.5       -13    305     954     50      2854    0	6
42    45         92     322     850     41      1045    0	7
41.7  44.7       104    327     630     43      859     0	8	
41.7  44.7       104    327     630     43      859     0	9
41.7  44.7       104    327     630     43      859     0	10
41.9  44         79     326     723     31      1052    1	11
41.9  43.5       68     326     735     29      1162    1	12
41.9  43.5       68     326     735     29      1162    1	13
41.9  43.3       45     318     811     29      1683    1	14
41.9  43.3       45     318     811     29      1683    1 	15
41.9  43.3       45     318     811     29      1683    1	16
41.8  42.8       42     321     903     20      1871    1	17
41.8  42.8       42     321     903     20      1871    1	18
41.6  42.5       25     325     988     16      2208    0	19
41.6  42.5       25     325     988     16      2208    0	20
41.6  42.5       25     325     988     16      2208    0 	21
41.8  43.2       63     332     705     31      1293    1	22
41.8  43.2       63     332     705     31      1293    1	23
41.6  43.3       52     337     653     38      1577    1	24
41.8  43.5       67     328     698     31      1203    1	25
41.8  43.5       67     328     698     31      1203    1	26
41.8  43.5       67     328     698     31      1203    1	27
41.8  42.7       31     319     996     17      2065    1	28
41.8  42.7       31     319     996     17      2065    1	29
41.7  43.5       27     323     794     36      2086    1	30	
41.7  43.5       27     323     794     36      2086    1	31
41.7  43.6       20     322     814     38      2234    1	32
41.7  43.6       20     322     814     38      2234    1	33
41.8  44.1       55     317     809     39      1531    1	34
41.8  44.1       55     317     809     39      1531    1	35
41.8  44.1       55     317     809     39      1531    1	36
41.8  44.1       55     317     809     39      1531    1	37
41.4  43.8       28     335     712     45      2100    0	38
41.4  43.8       28     335     712     45      2100    0	39
41.4  43.8       28     335     712     45      2100    0	40


